P 808.7908, 1004.7050, 43.5423,  255, 0, 0,  3,  to_Shard`s_Landing
P -1108.4860, 795.1016, 77.5860,  255, 0, 0,  3,  to_Beasts`_Domain
P -1441.0000, 205.0000, 82.7630,  255, 0, 0,  2,  Succor
P -342.6150, 184.0034, 18.4838, 127, 255, 0, 2, Gimthra_(Quest)
P -430.8382, -116.1591, 15.0507, 127, 255, 0, 2, Aranu_(Quest)
P 200.6348, 662.7205, 1.9253, 127, 255, 0, 2, Galdamil_(Quest)
P -6.0542, 581.3401, -0.3792, 127, 255, 0, 2, Gevani_Willosprite_(Quest)
P -16.3665, 561.2108, -2.5116, 127, 255, 0, 2, Azkin_(Quest)
P -66.2095, 132.8300, 968.6149, 127, 255, 0, 2, Tally_(Quest)
P -15.2287, -77.3054, 1165.0504, 127, 255, 0, 2, Bally_(Quest)
P 260.0403, -1247.7682, 25.8214, 255, 140, 0, 2, A_Blob_of_Sap_(Hunter)
P -914.7123, 905.0087, 43.4835, 255, 140, 0, 2, Seedspitter_(Hunter)
P 757.0477, 617.9078, 1165.8311, 255, 140, 0, 2, Thornmaw_(Hunter)
P -944.3289, 188.0866, 43.3914, 255, 140, 0, 2, Burntbark_(Hunter)
P -459.1560, 1222.4498, 70.0200, 255, 140, 0, 2, Seedspitter_(Hunter)
P 466.3003, 827.6380, 1165.3800, 255, 140, 0, 2, Thornmaw_(Hunter)
P 455.3304, -830.1319, 41.5243, 255, 140, 0, 2, Yunaizarn_(Hunter)
P -42.6355, -64.0284, 776.4006, 255, 140, 0, 2, The_Ant_Queen_(Hunter)
P -741.9188, 137.8925, 1163.4415, 255, 140, 0, 2, Uzrinar_the_Damned_(Hunter)
P 314.7028, -4.3693, 1164.5836, 255, 140, 0, 2, Ruaabri_(Hunter)
P -179.1119, 72.3152, 938.3279, 255, 140, 0, 2, Clizik_(Hunter)
P 32.3808, -66.4283, 1165.3389, 255, 140, 0, 2, A_Bloated_Toad_(Hunter)
P -455.3047, -302.4767, 1163.9508, 255, 140, 0, 2, Urzinar_the_Damned_(Hunter)
P -594.4707, 762.2104, 1164.0980,  186, 85, 211,  1,  .
P -581.7105, 774.4511, 1164.0598,  186, 85, 211,  1,  .
P -81.9494, 814.5084, 1164.2484,  186, 85, 211,  1,  .
P 314.2055, -256.1949, 1163.8612,  186, 85, 211,  1,  .
P 596.9086, 199.7476, 1170.0245,  186, 85, 211,  1,  .
P 658.2307, 168.3526, 1163.9866,  186, 85, 211,  1,  .
P 419.8360, 44.8766, 1163.9208,  186, 85, 211,  1,  .
P 23.9326, -460.4295, 1163.7607,  186, 85, 211,  1,  .
P -87.3847, -371.4471, 1164.0350,  186, 85, 211,  1,  .
P -68.8164, 831.3503, 1165.0981, 255, 140, 0, 2, Thornmaw_(Hunter)
P -29.3201, 15.6028, 776.4970, 255, 140, 0, 2, The_Ant_Queen_(Hunter)
P -46.1465, 103.6205, 969.3523,  240, 240, 240,  1,  .
P -81.0832, -116.0795, 773.2788,  240, 240, 240,  1,  .
P -66.6880, 116.2994, 680.8336,  240, 240, 240,  1,  .
P -42.0956, -51.5955, 607.8951,  240, 240, 240,  1,  .
P -64.3529, -67.7393, 601.7216,  240, 240, 240,  1,  .
P -23.3933, 45.2308, 622.2314,  240, 240, 240,  1,  .
P 128.8921, -44.4227, 550.1076,  240, 240, 240,  1,  .
P -2.9801, -192.2526, 430.7600,  240, 240, 240,  1,  .
P 237.4286, -215.8451, 62.5078,  240, 240, 0,  1,  .
P 228.3867, 606.8445, 1164.3167,  186, 85, 211,  1,  .
P 380.2271, 40.5820, 1164.6733,  186, 85, 211,  1,  .
P -498.9441, -305.6669, 1170.2582,  186, 85, 211,  1,  .
P 133.8002, 630.3120, 1163.9365,  186, 85, 211,  1,  .
P -62.4757, -123.2735, 980.7790,  240, 240, 240,  1,  .
P -9.2587, -40.6788, 776.2866,  240, 240, 240,  1,  .
P -40.7714, -106.4766, 582.8951,  240, 240, 240,  1,  .
P -76.7322, 805.0373, 37.6823,  240, 240, 0,  1,  .
