L 52, 128, 28, -26, 70, 2, 175, 175, 175
L -26, 70, 2, -47, 63, 1, 175, 175, 175
L -47, 63, 1, -79, 77, -3, 175, 175, 175
L -79, 77, -3, -83, 78, 0, 175, 175, 175
L -83, 78, 0, -93, 72, -1, 175, 175, 175
L -93, 72, -1, -102, 63, -1, 175, 175, 175
L -102, 63, -1, -107, 50, 1, 175, 175, 175
L -107, 50, 1, -94, 34, 0, 175, 175, 175
L -94, 34, 0, -90, 35, 1, 175, 175, 175
L -90, 35, 1, -78, -28, 0, 175, 175, 175
L -78, -28, 0, -100, -43, 0, 175, 175, 175
L -100, -43, 0, -101, -48, 1, 175, 175, 175
L -101, -48, 1, -100, -56, 1, 175, 175, 175
L -100, -56, 1, -85, -75, 2, 175, 175, 175
L -85, -75, 2, -78, -76, 2, 175, 175, 175
L -78, -76, 2, -64, -72, 0, 175, 175, 175
L -64, -72, 0, -50, -86, 0, 175, 175, 175
L -50, -86, 0, -55, -96, 0, 175, 175, 175
L -55, -96, 0, -59, -110, 3, 175, 175, 175
L -59, -110, 3, -55, -114, 5, 175, 175, 175
L -55, -114, 5, -26, -126, 5, 175, 175, 175
L -26, -126, 5, -3, -110, 2, 175, 175, 175
L -3, -110, 2, 32, -109, -1, 175, 175, 175
L 32, -109, -1, 45, -128, 0, 175, 175, 175
L 45, -128, 0, 55, -135, 1, 175, 175, 175
L 55, -135, 1, 72, -129, 1, 175, 175, 175
L 72, -129, 1, 84, -119, 1, 175, 175, 175
L 84, -119, 1, 89, -109, 2, 175, 175, 175
L 89, -109, 2, 70, -78, 0, 175, 175, 175
L 70, -78, 0, 86, -57, 1, 175, 175, 175
L 86, -57, 1, 111, -68, 2, 175, 175, 175
L 111, -68, 2, 119, -67, 2, 175, 175, 175
L 119, -67, 2, 124, -59, 3, 175, 175, 175
L 124, -59, 3, 127, -50, 3, 175, 175, 175
L 127, -50, 3, 130, -12, 2, 175, 175, 175
L 130, -12, 2, 123, 17, 2, 175, 175, 175
L 123, 17, 2, 106, 43, 3, 175, 175, 175
L 106, 43, 3, 96, 49, 3, 175, 175, 175
L 96, 49, 3, 95, 50, 6, 175, 175, 175
L 95, 50, 6, 88, 53, 8, 175, 175, 175
L 88, 53, 8, 81, 53, 6, 175, 175, 175
L 81, 53, 6, 67, 47, 4, 175, 175, 175
L 67, 47, 4, 37, 64, 4, 175, 175, 175
L 37, 64, 4, 21, 69, 4, 175, 175, 175
L 21, 69, 4, 12, 72, 6, 175, 175, 175
L 12, 72, 6, 15, 83, 8, 175, 175, 175
L 15, 83, 8, 16, 85, 9, 175, 175, 175
L 16, 85, 9, 38, 103, 19, 175, 175, 175
L 38, 103, 19, 63, 122, 27, 175, 175, 175
L 63, 122, 27, 70, 128, 28, 175, 175, 175
L 70, 128, 28, 73, 131, 30, 175, 175, 175
L 73, 131, 30, 92, 126, 29, 175, 175, 175
L 92, 126, 29, 97, 126, 29, 175, 175, 175
L 97, 126, 29, 108, 134, 29, 175, 175, 175
L 108, 134, 29, 111, 160, 29, 175, 175, 175
L 111, 160, 29, 106, 171, 29, 175, 175, 175
L 106, 171, 29, 83, 185, 29, 175, 175, 175
L 83, 185, 29, 70, 187, 30, 175, 175, 175
L 70, 187, 30, 52, 184, 29, 175, 175, 175
L 52, 184, 29, 40, 161, 29, 175, 175, 175
L 40, 161, 29, 47, 141, 29, 175, 175, 175
L 47, 141, 29, 49, 141, 27, 175, 175, 175
L 49, 141, 27, 51, 141, 27, 175, 175, 175
L 51, 141, 27, 52, 140, 28, 175, 175, 175
L 52, 140, 28, 50, 127, 27, 175, 175, 175
L -182, -87, -23, -210, -78, -30, 175, 175, 175
L -210, -78, -30, -215, -77, -29, 175, 175, 175
L -215, -77, -29, -218, -52, -27, 175, 175, 175
L -218, -52, -27, -218, -51, -26, 175, 175, 175
L -218, -51, -26, -222, -46, -26, 175, 175, 175
L -222, -46, -26, -232, -45, -26, 175, 175, 175
L -232, -45, -26, -245, -45, -25, 175, 175, 175
L -245, -45, -25, -250, -60, -26, 175, 175, 175
L -250, -60, -26, -273, -64, -26, 175, 175, 175
L -273, -64, -26, -291, -77, -26, 175, 175, 175
L -291, -77, -26, -306, -63, -26, 175, 175, 175
L -306, -63, -26, -312, -64, -25, 175, 175, 175
L -312, -64, -25, -325, -78, -25, 175, 175, 175
L -325, -78, -25, -325, -83, -25, 175, 175, 175
L -325, -83, -25, -326, -84, -26, 175, 175, 175
L -326, -84, -26, -328, -87, -23, 175, 175, 175
L -328, -87, -23, -289, -155, -27, 175, 175, 175
L -289, -155, -27, -226, -191, -26, 175, 175, 175
L -226, -191, -26, -215, -190, -26, 175, 175, 175
L -215, -190, -26, -206, -187, -26, 175, 175, 175
L -206, -187, -26, -203, -184, -23, 175, 175, 175
L -203, -184, -23, -202, -159, -24, 175, 175, 175
L -202, -159, -24, -185, -135, -26, 175, 175, 175
L -185, -135, -26, -183, -117, -27, 175, 175, 175
L -183, -117, -27, -172, -111, -27, 175, 175, 175
L -172, -111, -27, -162, -104, -26, 175, 175, 175
L -162, -104, -26, -161, -97, -26, 175, 175, 175
L -161, -97, -26, -164, -92, -25, 175, 175, 175
L -164, -92, -25, -170, -85, -23, 175, 175, 175
L -170, -85, -23, -171, -83, -23, 175, 175, 175
L -171, -83, -23, -173, -83, -24, 175, 175, 175
L -173, -83, -24, -175, -80, -24, 175, 175, 175
L -175, -80, -24, -179, -81, -24, 175, 175, 175
L -179, -81, -24, -183, -85, -24, 175, 175, 175
L -183, -85, -24, -183, -85, -23, 175, 175, 175
L -206, 63, -58, -202, 83, -61, 175, 175, 175
L -202, 83, -61, -179, 109, -61, 175, 175, 175
L -179, 109, -61, -177, 109, -61, 175, 175, 175
L -177, 109, -61, -165, 99, -62, 175, 175, 175
L -165, 99, -62, -160, 97, -63, 175, 175, 175
L -160, 97, -63, -152, 104, -62, 175, 175, 175
L -152, 104, -62, -143, 120, -61, 175, 175, 175
L -143, 120, -61, -153, 131, -62, 175, 175, 175
L -153, 131, -62, -143, 151, -63, 175, 175, 175
L -143, 151, -63, -131, 186, -64, 175, 175, 175
L -131, 186, -64, -131, 187, -63, 175, 175, 175
L -131, 187, -63, -135, 196, -61, 175, 175, 175
L -135, 196, -61, -142, 206, -61, 175, 175, 175
L -142, 206, -61, -149, 208, -61, 175, 175, 175
L -149, 208, -61, -214, 205, -64, 175, 175, 175
L -214, 205, -64, -245, 209, -64, 175, 175, 175
L -245, 209, -64, -253, 210, -62, 175, 175, 175
L -253, 210, -62, -262, 206, -62, 175, 175, 175
L -262, 206, -62, -266, 200, -61, 175, 175, 175
L -266, 200, -61, -275, 178, -61, 175, 175, 175
L -275, 178, -61, -284, 139, -63, 175, 175, 175
L -284, 139, -63, -283, 137, -62, 175, 175, 175
L -283, 137, -62, -234, 75, -66, 175, 175, 175
L -234, 75, -66, -229, 70, -65, 175, 175, 175
L -229, 70, -65, -207, 64, -63, 175, 175, 175
L 143, -197, -8, 162, -272, -12, 175, 175, 175
L 162, -272, -12, 182, -284, -10, 175, 175, 175
L 182, -284, -10, 184, -284, -10, 175, 175, 175
L 184, -284, -10, 222, -257, -10, 175, 175, 175
L 222, -257, -10, 241, -267, -9, 175, 175, 175
L 241, -267, -9, 250, -266, -8, 175, 175, 175
L 250, -266, -8, 253, -263, -8, 175, 175, 175
L 253, -263, -8, 258, -249, -8, 175, 175, 175
L 258, -249, -8, 286, -212, -10, 175, 175, 175
L 286, -212, -10, 295, -182, -10, 175, 175, 175
L 295, -182, -10, 292, -171, -10, 175, 175, 175
L 292, -171, -10, 229, -153, -9, 175, 175, 175
L 229, -153, -9, 188, -152, -11, 175, 175, 175
L 188, -152, -11, 149, -166, -12, 175, 175, 175
L 149, -166, -12, 140, -175, -11, 175, 175, 175
L 140, -175, -11, 139, -186, -8, 175, 175, 175
L 139, -186, -8, 141, -195, -8, 175, 175, 175
L -110, -255, 35, -104, -242, 35, 175, 175, 175
L -104, -242, 35, -84, -223, 34, 175, 175, 175
L -84, -223, 34, -77, -203, 34, 175, 175, 175
L -77, -203, 34, -75, -198, 35, 175, 175, 175
L -75, -198, 35, -66, -196, 37, 175, 175, 175
L -66, -196, 37, -49, -200, 37, 175, 175, 175
L -49, -200, 37, -34, -211, 33, 175, 175, 175
L -34, -211, 30, -21, -211, 34, 175, 175, 175
L -21, -211, 34, -12, -206, 35, 175, 175, 175
L -12, -206, 35, -2, -211, 35, 175, 175, 175
L -2, -211, 35, 6, -221, 35, 175, 175, 175
L 6, -221, 35, 5, -256, 33, 175, 175, 175
L 5, -256, 33, 15, -332, 33, 175, 175, 175
L 15, -332, 33, 15, -337, 35, 175, 175, 175
L 15, -337, 35, 13, -346, 37, 175, 175, 175
L 13, -346, 37, -9, -355, 37, 175, 175, 175
L -9, -355, 37, -27, -343, 33, 175, 175, 175
L -27, -343, 33, -39, -343, 35, 175, 175, 175
L -39, -343, 35, -61, -336, 33, 175, 175, 175
L -61, -336, 33, -78, -347, 36, 175, 175, 175
L -78, -347, 36, -83, -349, 37, 175, 175, 175
L -83, -349, 37, -92, -346, 36, 175, 175, 175
L -92, -346, 36, -97, -341, 36, 175, 175, 175
L -97, -341, 36, -103, -327, 38, 175, 175, 175
L -103, -327, 38, -107, -300, 35, 175, 175, 175
L -107, -300, 35, -124, -295, 34, 175, 175, 175
L -124, -295, 34, -138, -291, 37, 175, 175, 175
L -138, -291, 37, -142, -282, 39, 175, 175, 175
L -142, -282, 39, -139, -270, 38, 175, 175, 175
L -139, -270, 39, -129, -265, 38, 175, 175, 175
L -129, -265, 39, -110, -254, 35, 175, 175, 175
